7zip 24.09-3
nodejs 23.4.0-1
noto-fonts 1:2025.01.01-1
noto-fonts-cjk 20230817-2
noto-fonts-emoji 1:2.047-1
ntfs-3g 2022.10.3-1
nvme-cli 2.11-1
obmenu-generator 0.93-1
obs-studio 31.0.1-2
obsidian 1.7.7-1
open-iscsi 2.1.10-1
openconnect 1:9.12-3
openpgp-card-tools 0.11.7-1
openssh 9.9p1-2
openvpn 2.6.13-1
os-prober 1.81-2
outlook-for-linux-bin 1.3.13-1
pandoc-cli 3.1.12.1-1
partclone 0.3.33-1
parted 3.6-2
partimage 0.6.9-15
paru 2.0.4-1
paru-debug 2.0.4-1
pastel 0.10.0-1
patch 2.7.6-10
pavucontrol 1:6.1-1
pcsclite 2.3.1-1
perl-image-exiftool 13.15-1
perl-linux-desktopfiles 0.26-1
php 8.3.15-1
php-enchant 8.3.15-1
php-fpm 8.3.15-1
php-gd 8.3.15-1
php-odbc 8.3.15-1
php-pgsql 8.3.15-1
php-sqlite 8.3.15-1
picom 12.5-1
pipewire 1:1.2.7-1
pipewire-alsa 1:1.2.7-1
pipewire-jack 1:1.2.7-1
pipewire-pulse 1:1.2.7-1
pkgconf 2.3.0-1
plank 0.11.89-5
playerctl 2.4.1-4
plocate 1.1.23-1
plymouth 22.02.122-6
polkit 126-2
polybar 3.7.2-2
polybar-spotify-module 1.2.5-1
powertop 2.15-2
ppp 2.5.2-1
pptpclient 1.10.0-3
prince-bin 15.4.1-1
protobuf-c 1.5.0-10
pulsemixer 1.5.1-7
pv 1.9.27-1
python-beautifulsoup4 4.12.3-3
python-pip 24.3.1-3
python-pipx 1.7.1-2
python-pywal 3.3.0-10
qt5ct 1.8-2
qt5gtk2 1.0-3
qt6ct 0.9-12
qt6gtk2 0.3-1
ranger 1.9.4-3
re2c 4.0.2-1
refind 0.14.2-1
reflector 2023-3
ripgrep 14.1.1-1
rmtrash 1.15-2
rofi-emoji-git r85.9329266-1
rofi-lbonn-wayland-git 1.7.5.wayland3.r27.g142e7807-1
rofi-spotify-git r94.f0792d3-1
rofimoji 6.5.0-2
rp-pppoe 4.0-4
rsync 3.4.1-1
rxvt-unicode-terminfo 9.31-6
samba 2:4.21.3-1
schroedinger 1.0.11-7
scrcpy 3.1-1
screen 5.0.0-2
sddm-git 0.21.0.29.g4a9aa2e-1
sdparm 1.12-1
sequoia-sq 0.39.0-1
sg3_utils 1.48-1
shellcheck-bin 0.10.0-1
shfmt 3.10.0-1
simplescreenrecorder 0.4.4-3
slop 7.6-5
smartmontools 7.4-2
sof-firmware 2024.09.2-1
speedtest-cli 2.1.3-9
spofi-git r21.b1759e4-1
spotify 1:1.2.52.442-1
squashfs-tools 4.6.1-2
stockfish 1:17-1
stow 2.4.1-1
sublime-text-4 4.4192-1
sudo 1.9.16.p2-2
swtpm 0.10.0-3
systemd-resolvconf 257.2-2
tcpdump 4.99.5-1
telegram-desktop 5.10.5-1
terminus-font 4.49.1-7
tesseract 5.5.0-1
tesseract-data-eng 2:4.1.0-4
thefuck 3.32-11
thonny 4.1.7-1
